0,14	0
0,23	-0,5
0,26	-1
0,3	-1,5
0,33	-2
0,37	-2,5
0,41	-3
0,45	-3,5
0,55	-4
0,61	-4,5
0,7	-5
0,91	-5,5
1,09	-6
1,23	-6,5
1,82	-7
2,43	-7,5
2,98	-8
2,96	-8
2,13	-8
1,91	-7,5
1,33	-7
1,21	-7
0,97	-6
0,94	-5,5
0,71	-5
0,58	-4,5
0,49	-4
0,41	-3,5
0,36	-3
0,34	-2,5
0,3	-2
0,26	-1,5
0,23	-1
0,22	-0,5
0,14	0
