Temp (°C),Archivos,Puntos ΔV,ΔV̄ (V),σ_ΔV (V),a = dΔE/dn (eV),b (eV),R²,Ea_est (eV),ℓ_exp (m),│Ea_est-4.67│ (eV)
165,1,10,3.8270000000000004,1.9124158659780162,0.4992121212121213,1.081333333333331,0.6246216115538068,1.3309393939393916,0.02250495207304027,3.3390606060606083
170,1,7,5.295714285714287,2.8029915991243897,-0.01464285714285679,5.354285714285715,0.00012735465961977166,5.346964285714287,-0.00016431219316701334,0.6769642857142868
175,1,6,4.916666666666667,0.16033298683261268,0.07885714285714267,4.640666666666666,0.8466508595139258,4.680095238095237,0.001010968437760727,0.010095238095237491
180,1,6,4.848333333333334,0.2515087804961609,-0.013428571428571031,4.895333333333332,0.009977491549922002,4.888619047619047,-0.00016481429169791354,0.21861904761904682
185,1,6,4.88,0.15709869509324506,0.05314285714285762,4.693999999999997,0.4005093771706365,4.720571428571426,0.0006754630190049695,0.05057142857142605
