U (kV)	Incertidumbre U	D1 cm 	Incertidumbre D1 	D2 cm	Incertidumbre D2 
3	0,1	1,61	0,015	2,41	0,005
3,2	0,1	1,07	0,01	2,51	0,105
3,5	0,1	1,33	0,1175	2,44	0,175
3,8	0,1	1,32	0,065	2,31	0,16
4	0,1	1,21	0,105	2,21	0,105
4,2	0,1	1,22	0,105	2,01	0,105
4,4	0,1	1,34	0,105	2,22	0,13
4,6	0,1	1,31	0,065	2,04	0,105
4,8	0,1	1,35	0,06	2,01	0,155
