Ángulo del crista	Tasa con 35kV
theta/°         	R(35kV)/Imp/s

4,0	2,0
4,2	4,0
4,4	4,0
4,6	5,0
4,8	6,0
5,0	6,0
5,2	4,0
5,4	4,0
5,6	6,0
5,8	5,0
6,0	5,0
6,2	7,0
6,4	5,0
6,6	9,0
6,8	6,0
7,0	5,0
7,2	5,0
7,4	7,0
7,6	4,0
7,8	5,0
8,0	5,0
8,2	6,0
8,4	4,0
8,6	8,0
8,8	8,0
9,0	3,0
9,2	3,0
9,4	4,0
9,6	6,0
9,8	7,0
10,0	5,0
10,2	5,0
10,4	4,0
10,6	3,0
10,8	5,0
11,0	5,0
11,2	6,0
11,4	8,0
11,6	6,0
11,8	4,0
12,0	5,0
12,2	3,0
12,4	8,0
12,6	6,0
12,8	6,0
13,0	8,0
13,2	7,0
13,4	3,0
13,6	11,0
13,8	7,0
14,0	4,0
14,2	10,0
14,4	8,0
14,6	5,0
14,8	9,0
15,0	6,0
15,2	4,0
15,4	4,0
15,6	7,0
15,8	3,0
16,0	7,0
16,2	7,0
16,4	5,0
16,6	3,0
16,8	4,0
17,0	7,0
17,2	7,0
17,4	8,0
17,6	5,0
17,8	5,0
18,0	6,0
18,2	11,0
18,4	33,0
18,6	9,0
18,8	9,0
19,0	11,0
19,2	12,0
19,4	3,0
19,6	3,0
19,8	6,0
20,0	4,0
20,2	8,0
20,4	5,0
20,6	121,0
20,8	83,0
21,0	9,0
