Ángulo del crista	Tasa con 35kV
theta/°         	R(35kV)/Imp/s

4,0	0,0
4,2	0,0
4,4	1,0
4,6	1,0
4,8	1,0
5,0	2,0
5,2	3,0
5,4	2,0
5,6	2,0
5,8	2,0
6,0	0,0
6,2	1,0
6,4	0,0
6,6	1,0
6,8	1,0
7,0	1,0
7,2	1,0
7,4	1,0
7,6	1,0
7,8	0,0
8,0	0,0
8,2	0,0
8,4	2,0
8,6	1,0
8,8	1,0
9,0	1,0
9,2	1,0
9,4	2,0
9,6	1,0
9,8	1,0
10,0	1,0
10,2	2,0
10,4	0,0
10,6	1,0
10,8	3,0
11,0	0,0
11,2	2,0
11,4	3,0
11,6	1,0
11,8	1,0
12,0	1,0
12,2	1,0
12,4	0,0
12,6	0,0
12,8	1,0
13,0	2,0
13,2	1,0
13,4	1,0
13,6	0,0
13,8	0,0
14,0	3,0
14,2	0,0
14,4	2,0
14,6	2,0
14,8	1,0
15,0	0,0
15,2	1,0
15,4	2,0
15,6	1,0
15,8	2,0
16,0	0,0
16,2	1,0
16,4	1,0
16,6	0,0
16,8	2,0
17,0	2,0
17,2	3,0
17,4	2,0
17,6	2,0
17,8	0,0
18,0	0,0
18,2	0,0
18,4	4,0
18,6	1,0
18,8	0,0
19,0	0,0
19,2	1,0
19,4	0,0
19,6	0,0
19,8	2,0
20,0	0,0
20,2	2,0
20,4	3,0
20,6	19,0
20,8	16,0
21,0	0,0
