Ángulo del crista	Tasa con 13kV	Tasa con 15kV	Tasa con 17kV	Tasa con 19kV	Tasa con 21kV	Tasa con 23kV	Tasa con 25kV	Tasa con 27kV	Tasa con 29kV	Tasa con 31kV	Tasa con 33kV	Tasa con 35kV
theta/°	R(13kV)/Imp/s	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

15,0	1,0	0,0	2,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15,2	0,0	0,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15,4	0,0	1,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15,6	0,0	2,0	3,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15,8	1,0	2,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16,0	0,0	1,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16,2	0,0	2,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16,4	1,0	0,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16,6	0,0	1,0	1,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16,8	0,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17,0	0,0	2,0	2,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17,2	2,0	2,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17,4	0,0	0,0	2,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17,6	1,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17,8	0,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18,0	1,0	2,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18,2	0,0	2,0	4,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18,4	5,0	9,0	10,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18,6	1,0	2,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18,8	0,0	2,0	2,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19,0	1,0	1,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19,2	1,0	1,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19,4	1,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19,6	0,0	2,0	3,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19,8	2,0	2,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20,0	1,0	1,0	2,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20,2	0,0	2,0	1,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20,4	2,0	1,0	4,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20,6	8,0	31,0	56,0	62,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20,8	11,0	22,0	32,0	54,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21,0	2,0	2,0	4,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
