tipo	U1[V]	IA[nA]
mínimo	0,97	0,47
máximo	1,19	0,55
mínimo	2,90	0,47
máximo	3,41	0,55
mínimo	3,63	0,48
máximo	4,12	0,56
mínimo	4,34	0,51
máximo	8,52	1,38
mínimo	8,74	1,32
máximo	12,45	3,54
mínimo	14,16	2,53
máximo	17,16	8,15
mínimo	19,02	4,07
máximo	22,02	14,19
mínimo	23,93	6,25
máximo	26,93	21,05
mínimo	28,93	9,68
máximo	32,08	29,40
mínimo	34,11	15,55
máximo	37,33	39,77
mínimo	39,24	26,18

