tipo	U1[V]	IA[nA]
máximo	12,86	2,16
mínimo	14,57	1,76
máximo	17,26	4,89
mínimo	19,21	2,85
máximo	22,02	9,04
mínimo	24,05	4,24
máximo	26,88	14,19
mínimo	28,74	6,27
máximo	31,84	20,57
mínimo	33,79	9,46
máximo	36,75	27,66
mínimo	38,77	13,79
máximo	41,83	35,50
mínimo	43,98	20,81
máximo	47,13	47,07
mínimo	48,93	36,07
