tipo	U1[V]	IA[nA]
máximo	12,42	2,23
mínimo	14,11	1,67
máximo	17,06	5,39
mínimo	18,97	2,81
máximo	21,88	10,24
mínimo	23,83	4,35
máximo	26,78	16,29
mínimo	28,69	6,63
máximo	31,77	23,57
mínimo	33,69	10,44
máximo	36,70	32,31
mínimo	38,82	15,95
máximo	41,83	42,10
mínimo	43,88	25,15
máximo	46,25	50,00
mínimo	48,98	45,11
