tipo	U1[V]	IA[nA]
máximo	13,50	1,92
mínimo	14,33	1,79
máximo	17,63	3,90
mínimo	19,43	2,81
máximo	22,17	7,26
mínimo	24,12	4,19
máximo	26,98	11,98
mínimo	28,96	6,19
máximo	31,79	18,33
mínimo	33,74	9,34
máximo	36,72	26,68
mínimo	38,75	13,88
máximo	41,66	35,97
mínimo	43,80	20,53
máximo	46,76	47,74
mínimo	48,88	30,48
máximo	50,79	50,00
mínimo	53,96	45,78
