tipo	U1[V]	IA[nA]
mínimo	0,17	0,46
máximo	17,46	3,69
mínimo	19,41	2,72
máximo	22,17	6,80
mínimo	24,22	4,01
máximo	26,93	11,23
mínimo	28,93	5,90
máximo	31,84	17,28
mínimo	33,79	8,83
máximo	36,70	25,15
mínimo	38,75	13,20
máximo	41,68	34,12
mínimo	43,76	19,60
máximo	46,76	45,46
mínimo	48,86	29,15
máximo	50,91	50,00
mínimo	53,91	43,63
